date,equity,cash,gross_exposure,net_exposure,realized_pnl,unrealized_pnl,return,log_return
2025-10-01,100000,100000,0,0,0,0,0.0000,0.0000
2025-10-02,100850,90987.5,10012.5,10012.5,0,850,0.0085,0.0085
2025-10-03,101420,90987.5,10500,6800,0,1420,0.0056,0.0056
2025-10-04,100900,90987.5,10400,6600,0,900,-0.0051,-0.0051
2025-10-05,99550,90987.5,10300,6500,0,-450,-0.0129,-0.0130
2025-10-06,100200,90987.5,10450,6700,120,80,0.0065,0.0065
2025-10-07,99880,90987.5,10350,6650,120,-220,-0.0032,-0.0032
2025-10-08,101900,90987.5,11000,7000,150,762.5,0.0202,0.0200
2025-10-09,102250,90987.5,11150,7100,150,1112.5,0.0034,0.0034
2025-10-10,101100,90987.5,11000,6900,130,-17.5,-0.0112,-0.0113
2025-10-11,103000,90987.5,11200,7200,200,812.5,0.0188,0.0186
